"date","open","high","low","close","adj_close","volume","ma_200","ma_50","ma_21","ma_7"
"2019-10-30","61.19","61.325","60.3025","60.815","59.8327","124522000","49.581","55.922","58.7886","61.0321"
"2019-10-31","61.81","62.2925","59.315","62.19","61.1855","139162000","49.6982","56.1026","59.1433","61.3464"
"2019-11-01","62.385","63.9825","62.29","63.955","62.922","151125200","49.8232","56.3194","59.56","61.7979"
"2019-11-04","64.3325","64.4625","63.845","64.375","63.3352","103272000","49.949","56.5937","59.923","62.295"
"2019-11-05","64.2625","64.5475","64.08","64.2825","63.2442","79897600","50.0788","56.8469","60.281","62.6718"
"2019-11-06","64.1925","64.3725","63.8425","64.31","63.2712","75864400","50.208","57.1123","60.6719","62.9643"
"2019-11-07","64.685","65.0875","64.5275","64.8575","64.0015","94940400","50.3414","57.3818","61.0576","63.5407"
"2019-11-08","64.6725","65.11","64.2125","65.035","64.1766","69986400","50.4694","57.6375","61.4154","64.1436"
"2019-11-11","64.575","65.6175","64.57","65.55","64.6848","81821200","50.6017","57.9048","61.7248","64.6236"
"2019-11-12","65.3875","65.6975","65.23","65.49","64.6256","87388800","50.7358","58.1861","62.0354","64.8429"
"2019-11-13","65.2825","66.195","65.2675","66.1175","65.2448","102734400","50.8599","58.4624","62.3824","65.0918"
"2019-11-14","65.9375","66.22","65.525","65.66","64.7934","89182800","50.9801","58.7093","62.7189","65.2886"
"2019-11-15","65.92","66.445","65.7525","66.44","65.5631","100206400","51.1042","58.9717","63.0818","65.5929"
"2019-11-18","66.45","66.8575","66.0575","66.775","65.8937","86703200","51.224","59.2364","63.4471","65.8668"
"2019-11-19","66.975","67","66.3475","66.5725","65.6938","76167200","51.3391","59.4843","63.754","66.0864"
"2019-11-20","66.385","66.52","65.1","65.7975","64.9291","106234400","51.4503","59.6824","64.0306","66.1218"
"2019-11-21","65.9225","66.0025","65.295","65.5025","64.638","121395200","51.5641","59.8769","64.2548","66.1236"
"2019-11-22","65.6475","65.795","65.21","65.445","64.5812","65325200","51.6783","60.0921","64.4714","66.0275"
"2019-11-25","65.6775","66.61","65.63","66.5925","65.7136","84020400","51.7995","60.3245","64.707","66.1607"
