"date","open","high","low","close","adj_close","volume"
"2006-12-14",3.18036,3.21429,3.15214,3.1625,2.70399,832330800
"2006-12-15",3.17929,3.18643,3.11893,3.13286,2.67865,739939200
"2006-12-18",3.12964,3.14286,3.02107,3.0525,2.60994,721576800
"2006-12-19",3.02607,3.09571,2.98643,3.0825,2.63559,911405600
"2006-12-20",3.08821,3.09536,3.02643,3.02714,2.58826,567691600
"2006-12-21",3.025,3.05286,2.93571,2.96071,2.53146,903599200
"2006-12-22",2.98071,3.00143,2.91429,2.93571,2.51009,613303600
"2006-12-26",2.93393,2.94893,2.88893,2.91107,2.48902,490688800
"2006-12-27",2.79107,2.92857,2.74179,2.91143,2.48932,1935754800
"2006-12-28",2.865,2.90179,2.84464,2.88821,2.46947,1119876800
"2006-12-29",2.99821,3.05,2.97714,3.03,2.5907,1076429200
"2007-01-03",3.08179,3.09214,2.925,2.99286,2.55895,1238319600
"2007-01-04",3.00179,3.06964,2.99357,3.05929,2.61575,847260400
"2007-01-05",3.06321,3.07857,3.01429,3.0375,2.59712,834741600
"2007-01-08",3.07,3.09036,3.04571,3.0525,2.60994,797106800
"2007-01-09",3.0875,3.32071,3.04107,3.30607,2.82675,3349298400
"2007-01-10",3.38393,3.49286,3.3375,3.46429,2.96203,2952880000
"2007-01-11",3.42643,3.45643,3.39643,3.42143,2.92538,1440252800
"2007-01-12",3.37821,3.395,3.32964,3.37929,2.88935,1312690400
"2007-01-16",3.41714,3.47321,3.40893,3.46786,2.96508,1244076400
"2007-01-17",3.48429,3.48571,3.38643,3.39107,2.89943,1646260000
"2007-01-18",3.28929,3.28964,3.18036,3.18107,2.71987,2364605600
"2007-01-19",3.16536,3.20179,3.14714,3.16071,2.70247,1364473600
"2007-01-22",3.18357,3.18429,3.05893,3.09964,2.65025,1454026000
"2007-01-23",3.06179,3.12536,3.05393,3.06071,2.61697,1207424400
"2007-01-24",3.09571,3.1125,3.07429,3.09643,2.6475,927813600
"2007-01-25",3.11107,3.16071,3.0725,3.08036,2.63376,905973600
"2007-01-26",3.11107,3.12036,3.03536,3.04929,2.60719,986874000
"2007-01-29",3.08214,3.09464,3.05464,3.06929,2.62429,901664400
"2007-01-30",3.08679,3.08893,3.04464,3.05536,2.61239,577970400
"2007-01-31",3.03071,3.07143,3.0125,3.06179,2.61788,856069200
"2007-02-01",3.07964,3.08107,3.02643,3.02643,2.58765,664342000
"2007-02-02",3.00429,3.04464,2.98929,3.02679,2.58796,621530000
"2007-02-05",3.01071,3.04393,2.99786,2.99786,2.56322,578852400
"2007-02-06",3.01607,3.01679,2.95929,3.00536,2.56963,864393600
"2007-02-07",3.01714,3.085,2.98393,3.07679,2.63071,1066825200
"2007-02-08",3.05107,3.08964,3.05036,3.07786,2.63162,679030800
"2007-02-09",3.06714,3.07857,2.97179,2.97393,2.54276,860540800
"2007-02-12",3.01536,3.04214,2.98679,3.03143,2.59193,724071600
"2007-02-13",3.04143,3.04607,3.01071,3.025,2.58643,580986000
"2007-02-14",3.0225,3.05857,3.02036,3.04643,2.60475,507981600
